Description	
Number of Runs	750
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	840
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
314	840	32	1	04/27/26 12:59:36 PM	
315	840	21	1	04/27/26 12:59:37 PM	
316	840	33	1	04/27/26 12:59:38 PM	
317	840	26	1	04/27/26 12:59:40 PM	
318	840	26	1	04/27/26 12:59:41 PM	
319	840	27	1	04/27/26 12:59:42 PM	
320	840	27	1	04/27/26 12:59:43 PM	
321	840	21	1	04/27/26 12:59:44 PM	
322	840	31	1	04/27/26 12:59:45 PM	
323	840	20	1	04/27/26 12:59:47 PM	
324	840	33	1	04/27/26 12:59:48 PM	
325	840	21	1	04/27/26 12:59:49 PM	
326	840	23	1	04/27/26 12:59:50 PM	
327	840	25	1	04/27/26 12:59:51 PM	
328	840	23	1	04/27/26 12:59:53 PM	
329	840	26	1	04/27/26 12:59:54 PM	
330	840	20	1	04/27/26 12:59:55 PM	
331	840	32	1	04/27/26 12:59:56 PM	
332	840	39	1	04/27/26 12:59:57 PM	
333	840	25	1	04/27/26 12:59:59 PM	
334	840	21	1	04/27/26 01:00:00 PM	
335	840	18	1	04/27/26 01:00:01 PM	
336	840	29	1	04/27/26 01:00:02 PM	
337	840	22	1	04/27/26 01:00:03 PM	
338	840	32	1	04/27/26 01:00:04 PM	
339	840	26	1	04/27/26 01:00:06 PM	
340	840	21	1	04/27/26 01:00:07 PM	
341	840	25	1	04/27/26 01:00:08 PM	
342	840	22	1	04/27/26 01:00:09 PM	
343	840	29	1	04/27/26 01:00:10 PM	
344	840	23	1	04/27/26 01:00:12 PM	
345	840	21	1	04/27/26 01:00:13 PM	
346	840	26	1	04/27/26 01:00:14 PM	
347	840	21	1	04/27/26 01:00:15 PM	
348	840	15	1	04/27/26 01:00:16 PM	
349	840	23	1	04/27/26 01:00:18 PM	
350	840	26	1	04/27/26 01:00:19 PM	
351	840	24	1	04/27/26 01:00:20 PM	
352	840	26	1	04/27/26 01:00:21 PM	
353	840	24	1	04/27/26 01:00:22 PM	
354	840	22	1	04/27/26 01:00:23 PM	
355	840	22	1	04/27/26 01:00:25 PM	
356	840	28	1	04/27/26 01:00:26 PM	
357	840	21	1	04/27/26 01:00:27 PM	
358	840	23	1	04/27/26 01:00:28 PM	
359	840	18	1	04/27/26 01:00:29 PM	
360	840	23	1	04/27/26 01:00:31 PM	
361	840	27	1	04/27/26 01:00:32 PM	
362	840	27	1	04/27/26 01:00:33 PM	
363	840	20	1	04/27/26 01:00:34 PM	
364	840	29	1	04/27/26 01:00:35 PM	
365	840	19	1	04/27/26 01:00:37 PM	
366	840	13	1	04/27/26 01:00:38 PM	
367	840	26	1	04/27/26 01:00:39 PM	
368	840	23	1	04/27/26 01:00:40 PM	
369	840	31	1	04/27/26 01:00:41 PM	
370	840	25	1	04/27/26 01:00:43 PM	
371	840	31	1	04/27/26 01:00:44 PM	
372	840	21	1	04/27/26 01:00:45 PM	
373	840	19	1	04/27/26 01:00:46 PM	
374	840	30	1	04/27/26 01:00:47 PM	
375	840	15	1	04/27/26 01:00:49 PM	
376	840	21	1	04/27/26 01:00:50 PM	
377	840	26	1	04/27/26 01:00:51 PM	
378	840	28	1	04/27/26 01:00:52 PM	
379	840	31	1	04/27/26 01:00:53 PM	
380	840	21	1	04/27/26 01:00:54 PM	
381	840	25	1	04/27/26 01:00:56 PM	
382	840	23	1	04/27/26 01:00:57 PM	
383	840	17	1	04/27/26 01:00:58 PM	
384	840	29	1	04/27/26 01:00:59 PM	
385	840	27	1	04/27/26 01:01:00 PM	
386	840	26	1	04/27/26 01:01:01 PM	
387	840	30	1	04/27/26 01:01:03 PM	
388	840	28	1	04/27/26 01:01:04 PM	
389	840	20	1	04/27/26 01:01:05 PM	
390	840	26	1	04/27/26 01:01:06 PM	
391	840	24	1	04/27/26 01:01:07 PM	
392	840	23	1	04/27/26 01:01:09 PM	
393	840	21	1	04/27/26 01:01:10 PM	
394	840	30	1	04/27/26 01:01:11 PM	
395	840	29	1	04/27/26 01:01:12 PM	
396	840	24	1	04/27/26 01:01:13 PM	
397	840	20	1	04/27/26 01:01:15 PM	
398	840	18	1	04/27/26 01:01:16 PM	
399	840	24	1	04/27/26 01:01:17 PM	
400	840	21	1	04/27/26 01:01:18 PM	
401	840	17	1	04/27/26 01:01:19 PM	
402	840	27	1	04/27/26 01:01:20 PM	
403	840	25	1	04/27/26 01:01:22 PM	
404	840	21	1	04/27/26 01:01:23 PM	
405	840	19	1	04/27/26 01:01:24 PM	
406	840	19	1	04/27/26 01:01:25 PM	
407	840	22	1	04/27/26 01:01:26 PM	
408	840	35	1	04/27/26 01:01:28 PM	
409	840	22	1	04/27/26 01:01:29 PM	
410	840	32	1	04/27/26 01:01:30 PM	
411	840	23	1	04/27/26 01:01:31 PM	
412	840	18	1	04/27/26 01:01:32 PM	
413	840	27	1	04/27/26 01:01:34 PM	
414	840	16	1	04/27/26 01:01:35 PM	
415	840	22	1	04/27/26 01:01:36 PM	
416	840	25	1	04/27/26 01:01:37 PM	
417	840	23	1	04/27/26 01:01:38 PM	
418	840	23	1	04/27/26 01:01:40 PM	
419	840	12	1	04/27/26 01:01:41 PM	
420	840	32	1	04/27/26 01:01:42 PM	
421	840	21	1	04/27/26 01:01:43 PM	
422	840	14	1	04/27/26 01:01:44 PM	
423	840	26	1	04/27/26 01:01:45 PM	
424	840	26	1	04/27/26 01:01:47 PM	
425	840	29	1	04/27/26 01:01:48 PM	
426	840	27	1	04/27/26 01:01:49 PM	
427	840	24	1	04/27/26 01:01:50 PM	
428	840	13	1	04/27/26 01:01:51 PM	
429	840	26	1	04/27/26 01:01:53 PM	
430	840	20	1	04/27/26 01:01:54 PM	
431	840	16	1	04/27/26 01:01:55 PM	
432	840	20	1	04/27/26 01:01:56 PM	
433	840	33	1	04/27/26 01:01:57 PM	
434	840	28	1	04/27/26 01:01:59 PM	
435	840	24	1	04/27/26 01:02:00 PM	
436	840	20	1	04/27/26 01:02:01 PM	
437	840	18	1	04/27/26 01:02:02 PM	
438	840	27	1	04/27/26 01:02:03 PM	
439	840	24	1	04/27/26 01:02:05 PM	
440	840	26	1	04/27/26 01:02:06 PM	
441	840	26	1	04/27/26 01:02:07 PM	
442	840	24	1	04/27/26 01:02:08 PM	
443	840	19	1	04/27/26 01:02:09 PM	
444	840	22	1	04/27/26 01:02:11 PM	
445	840	21	1	04/27/26 01:02:12 PM	
446	840	22	1	04/27/26 01:02:13 PM	
447	840	18	1	04/27/26 01:02:14 PM	
448	840	24	1	04/27/26 01:02:15 PM	
449	840	20	1	04/27/26 01:02:17 PM	
450	840	18	1	04/27/26 01:02:18 PM	
451	840	29	1	04/27/26 01:02:19 PM	
452	840	19	1	04/27/26 01:02:20 PM	
453	840	25	1	04/27/26 01:02:21 PM	
454	840	26	1	04/27/26 01:02:22 PM	
455	840	18	1	04/27/26 01:02:24 PM	
456	840	19	1	04/27/26 01:02:25 PM	
457	840	22	1	04/27/26 01:02:26 PM	
458	840	29	1	04/27/26 01:02:27 PM	
459	840	27	1	04/27/26 01:02:28 PM	
460	840	23	1	04/27/26 01:02:30 PM	
461	840	21	1	04/27/26 01:02:31 PM	
462	840	24	1	04/27/26 01:02:32 PM	
463	840	26	1	04/27/26 01:02:33 PM	
464	840	27	1	04/27/26 01:02:34 PM	
465	840	15	1	04/27/26 01:02:35 PM	
466	840	25	1	04/27/26 01:02:37 PM	
467	840	20	1	04/27/26 01:02:38 PM	
468	840	26	1	04/27/26 01:02:39 PM	
469	840	28	1	04/27/26 01:02:40 PM	
470	840	37	1	04/27/26 01:02:41 PM	
471	840	25	1	04/27/26 01:02:43 PM	
472	840	23	1	04/27/26 01:02:44 PM	
473	840	26	1	04/27/26 01:02:45 PM	
474	840	35	1	04/27/26 01:02:46 PM	
475	840	29	1	04/27/26 01:02:47 PM	
476	840	23	1	04/27/26 01:02:49 PM	
477	840	19	1	04/27/26 01:02:50 PM	
478	840	28	1	04/27/26 01:02:51 PM	
479	840	24	1	04/27/26 01:02:52 PM	
480	840	22	1	04/27/26 01:02:53 PM	
481	840	24	1	04/27/26 01:02:55 PM	
482	840	22	1	04/27/26 01:02:56 PM	
483	840	24	1	04/27/26 01:02:57 PM	
484	840	17	1	04/27/26 01:02:58 PM	
485	840	17	1	04/27/26 01:02:59 PM	
486	840	24	1	04/27/26 01:03:00 PM	
487	840	21	1	04/27/26 01:03:01 PM	
488	840	15	1	04/27/26 01:03:03 PM	
489	840	19	1	04/27/26 01:03:04 PM	
490	840	15	1	04/27/26 01:03:05 PM	
491	840	30	1	04/27/26 01:03:06 PM	
492	840	19	1	04/27/26 01:03:07 PM	
493	840	25	1	04/27/26 01:03:09 PM	
494	840	21	1	04/27/26 01:03:10 PM	
495	840	23	1	04/27/26 01:03:11 PM	
496	840	22	1	04/27/26 01:03:12 PM	
497	840	27	1	04/27/26 01:03:13 PM	
498	840	38	1	04/27/26 01:03:15 PM	
499	840	16	1	04/27/26 01:03:16 PM	
500	840	15	1	04/27/26 01:03:17 PM	
501	840	23	1	04/27/26 01:03:18 PM	
502	840	17	1	04/27/26 01:03:19 PM	
503	840	23	1	04/27/26 01:03:20 PM	
504	840	32	1	04/27/26 01:03:22 PM	
505	840	29	1	04/27/26 01:03:23 PM	
506	840	18	1	04/27/26 01:03:24 PM	
507	840	24	1	04/27/26 01:03:25 PM	
508	840	22	1	04/27/26 01:03:26 PM	
509	840	26	1	04/27/26 01:03:28 PM	
510	840	17	1	04/27/26 01:03:29 PM	
511	840	26	1	04/27/26 01:03:30 PM	
512	840	23	1	04/27/26 01:03:31 PM	
513	840	27	1	04/27/26 01:03:32 PM	
514	840	21	1	04/27/26 01:03:34 PM	
515	840	22	1	04/27/26 01:03:35 PM	
516	840	14	1	04/27/26 01:03:36 PM	
517	840	26	1	04/27/26 01:03:37 PM	
518	840	25	1	04/27/26 01:03:38 PM	
519	840	25	1	04/27/26 01:03:40 PM	
520	840	27	1	04/27/26 01:03:41 PM	
521	840	23	1	04/27/26 01:03:42 PM	
522	840	22	1	04/27/26 01:03:43 PM	
523	840	25	1	04/27/26 01:03:44 PM	
524	840	17	1	04/27/26 01:03:46 PM	
525	840	27	1	04/27/26 01:03:47 PM	
526	840	16	1	04/27/26 01:03:48 PM	
527	840	22	1	04/27/26 01:03:49 PM	
528	840	20	1	04/27/26 01:03:50 PM	
529	840	18	1	04/27/26 01:03:52 PM	
530	840	16	1	04/27/26 01:03:53 PM	
531	840	19	1	04/27/26 01:03:54 PM	
532	840	16	1	04/27/26 01:03:55 PM	
533	840	18	1	04/27/26 01:03:56 PM	
534	840	23	1	04/27/26 01:03:57 PM	
535	840	19	1	04/27/26 01:03:59 PM	
536	840	27	1	04/27/26 01:04:00 PM	
537	840	28	1	04/27/26 01:04:01 PM	
538	840	21	1	04/27/26 01:04:02 PM	
539	840	28	1	04/27/26 01:04:04 PM	
540	840	24	1	04/27/26 01:04:05 PM	
541	840	29	1	04/27/26 01:04:06 PM	
542	840	21	1	04/27/26 01:04:07 PM	
543	840	26	1	04/27/26 01:04:08 PM	
544	840	26	1	04/27/26 01:04:09 PM	
545	840	26	1	04/27/26 01:04:11 PM	
546	840	23	1	04/27/26 01:04:12 PM	
547	840	27	1	04/27/26 01:04:13 PM	
548	840	18	1	04/27/26 01:04:14 PM	
549	840	16	1	04/27/26 01:04:15 PM	
550	840	18	1	04/27/26 01:04:17 PM	
551	840	27	1	04/27/26 01:04:18 PM	
552	840	33	1	04/27/26 01:04:19 PM	
553	840	28	1	04/27/26 01:04:20 PM	
554	840	28	1	04/27/26 01:04:21 PM	
555	840	25	1	04/27/26 01:04:23 PM	
556	840	24	1	04/27/26 01:04:24 PM	
557	840	29	1	04/27/26 01:04:25 PM	
558	840	30	1	04/27/26 01:04:26 PM	
559	840	21	1	04/27/26 01:04:27 PM	
560	840	20	1	04/27/26 01:04:28 PM	
561	840	20	1	04/27/26 01:04:30 PM	
562	840	26	1	04/27/26 01:04:31 PM	
563	840	23	1	04/27/26 01:04:32 PM	
564	840	17	1	04/27/26 01:04:33 PM	
565	840	35	1	04/27/26 01:04:34 PM	
566	840	26	1	04/27/26 01:04:36 PM	
567	840	19	1	04/27/26 01:04:37 PM	
568	840	27	1	04/27/26 01:04:38 PM	
569	840	18	1	04/27/26 01:04:39 PM	
570	840	24	1	04/27/26 01:04:40 PM	
571	840	25	1	04/27/26 01:04:42 PM	
